id,title,content,category,tags
1,Pola Tidur yang Baik,Diet sehat dapat meningkatkan mood secara signifikan.,Sosial,"relaksasi, kecemasan"
2,Manfaat Meditasi untuk Stres,Diet sehat dapat meningkatkan mood secara signifikan.,Sosial,"bersyukur, kebahagiaan"
3,Pengaruh Diet terhadap Emosi,Bersyukur setiap hari dapat mengurangi stres.,Gaya Hidup,"olahraga, mental"
4,Olahraga untuk Kesehatan Mental,Bersyukur setiap hari dapat mengurangi stres.,Sosial,"media sosial, kesehatan"
5,Olahraga untuk Kesehatan Mental,Penggunaan media sosial yang sehat membantu menjaga mental.,Kesehatan,"relaksasi, kecemasan"
6,Pentingnya Dukungan Sosial,Dukungan sosial sangat penting dalam menjaga kesehatan.,Sosial,"dukungan, sosial"
7,Pola Tidur yang Baik,Penggunaan media sosial yang sehat membantu menjaga mental.,Gaya Hidup,manajemen waktu
8,Tips Mengelola Pikiran Negatif,Melatih pikiran positif membantu meningkatkan kebahagiaan.,Sosial,"relaksasi, kecemasan"
9,Pola Tidur yang Baik,Penggunaan media sosial yang sehat membantu menjaga mental.,Sosial,"diet, emosi"
10,Pentingnya Bersyukur untuk Kebahagiaan,Relaksasi adalah metode efektif untuk mengatasi kecemasan.,Kesehatan,"media sosial, kesehatan"
11,Teknik Manajemen Waktu,Relaksasi adalah metode efektif untuk mengatasi kecemasan.,Gaya Hidup,"bersyukur, kebahagiaan"
12,Manfaat Meditasi untuk Stres,Melatih pikiran positif membantu meningkatkan kebahagiaan.,Sosial,"olahraga, mental"
13,Manfaat Meditasi untuk Stres,Melatih pikiran positif membantu meningkatkan kebahagiaan.,Sosial,"relaksasi, kecemasan"
14,Pola Tidur yang Baik,Manajemen waktu yang baik mengurangi tekanan hidup.,Gaya Hidup,manajemen waktu
15,Olahraga untuk Kesehatan Mental,Penggunaan media sosial yang sehat membantu menjaga mental.,Sosial,"diet, emosi"
16,Olahraga untuk Kesehatan Mental,Relaksasi adalah metode efektif untuk mengatasi kecemasan.,Gaya Hidup,manajemen waktu
17,Tips Mengelola Pikiran Negatif,Olahraga rutin membantu menurunkan tingkat kecemasan.,Gaya Hidup,"relaksasi, kecemasan"
18,Pentingnya Bersyukur untuk Kebahagiaan,Olahraga rutin membantu menurunkan tingkat kecemasan.,Kesehatan,"tidur, kesehatan mental"
19,Manfaat Meditasi untuk Stres,Bersyukur setiap hari dapat mengurangi stres.,Sosial,"bersyukur, kebahagiaan"
20,Tips Mengelola Pikiran Negatif,Manajemen waktu yang baik mengurangi tekanan hidup.,Gaya Hidup,"olahraga, mental"
21,Olahraga untuk Kesehatan Mental,Olahraga rutin membantu menurunkan tingkat kecemasan.,Gaya Hidup,"bersyukur, kebahagiaan"
22,Tips Mengelola Pikiran Negatif,Manajemen waktu yang baik mengurangi tekanan hidup.,Gaya Hidup,"pikiran negatif, bahagia"
23,Teknik Manajemen Waktu,Meditasi terbukti membantu mengurangi stres dalam hidup.,Kesehatan,"dukungan, sosial"
24,Olahraga untuk Kesehatan Mental,Relaksasi adalah metode efektif untuk mengatasi kecemasan.,Sosial,"pikiran negatif, bahagia"
25,Efek Media Sosial pada Kesehatan Mental,Penggunaan media sosial yang sehat membantu menjaga mental.,Kesehatan,"meditasi, stres"
26,Pentingnya Bersyukur untuk Kebahagiaan,Manajemen waktu yang baik mengurangi tekanan hidup.,Kesehatan,"media sosial, kesehatan"
27,Pengaruh Diet terhadap Emosi,Manajemen waktu yang baik mengurangi tekanan hidup.,Gaya Hidup,"olahraga, mental"
28,Manfaat Meditasi untuk Stres,Dukungan sosial sangat penting dalam menjaga kesehatan.,Gaya Hidup,"media sosial, kesehatan"
29,Pentingnya Dukungan Sosial,Penggunaan media sosial yang sehat membantu menjaga mental.,Gaya Hidup,"diet, emosi"
30,Teknik Manajemen Waktu,Meditasi terbukti membantu mengurangi stres dalam hidup.,Gaya Hidup,"tidur, kesehatan mental"
31,Mengatasi Kecemasan dengan Relaksasi,Dukungan sosial sangat penting dalam menjaga kesehatan.,Kesehatan,manajemen waktu
32,Pengaruh Diet terhadap Emosi,Melatih pikiran positif membantu meningkatkan kebahagiaan.,Gaya Hidup,"media sosial, kesehatan"
33,Pentingnya Dukungan Sosial,Bersyukur setiap hari dapat mengurangi stres.,Sosial,"dukungan, sosial"
34,Olahraga untuk Kesehatan Mental,Relaksasi adalah metode efektif untuk mengatasi kecemasan.,Kesehatan,"diet, emosi"
35,Mengatasi Kecemasan dengan Relaksasi,Pola tidur yang konsisten mendukung kesehatan mental.,Gaya Hidup,"olahraga, mental"
36,Pola Tidur yang Baik,Penggunaan media sosial yang sehat membantu menjaga mental.,Sosial,"diet, emosi"
37,Pola Tidur yang Baik,Pola tidur yang konsisten mendukung kesehatan mental.,Gaya Hidup,"dukungan, sosial"
38,Teknik Manajemen Waktu,Melatih pikiran positif membantu meningkatkan kebahagiaan.,Sosial,manajemen waktu
39,Pola Tidur yang Baik,Penggunaan media sosial yang sehat membantu menjaga mental.,Gaya Hidup,manajemen waktu
40,Mengatasi Kecemasan dengan Relaksasi,Meditasi terbukti membantu mengurangi stres dalam hidup.,Gaya Hidup,"tidur, kesehatan mental"
41,Mengatasi Kecemasan dengan Relaksasi,Dukungan sosial sangat penting dalam menjaga kesehatan.,Kesehatan,"media sosial, kesehatan"
